videoId,totalWords,totalUniqueWords,totalSentences,avgSyllPerSec,avgCEFRScore,avgWordCEFR,avgFreqCEFR,readability,avgSentenceLength,uncommonRatio,totalEasyRatio,totalMiddleRatio,totalHardRatio,wordEasyRatio,wordMiddleRatio,wordHardRatio,FreqEasyRatio,FreqMiddleRatio,FreqHardRatio,channelId,video_id,difficulty,channel_id
5sm5Y-3Q_x4,629,208,185,0.96559285572147,2.221153846153846,2.0072115384615383,2.363782051282051,3.4329188461538465,3.4,20.673076923076923,70.38461538461539,14.903846153846152,14.711538461538463,78.60576923076923,8.653846153846153,12.740384615384617,64.90384615384616,19.07051282051282,16.025641025641026,UCpYye8D5fFMUPf9nSfgd4bA,5sm5Y-3Q_x4,1,UCpYye8D5fFMUPf9nSfgd4bA
Kxnma697Gyo,154,76,42,0.7147220197076982,2.2578947368421054,2.25,2.263157894736842,3.9216035087719296,3.6666666666666665,23.684210526315788,67.89473684210526,16.842105263157897,15.26315789473684,74.34210526315789,5.921052631578947,19.73684210526316,63.59649122807017,24.12280701754386,12.280701754385964,UCpYye8D5fFMUPf9nSfgd4bA,Kxnma697Gyo,1,UCpYye8D5fFMUPf9nSfgd4bA
ijOY6ib9XNM,133,62,35,0.5594440369481707,1.9903225806451608,1.8548387096774197,2.0806451612903225,2.9899316129032263,3.8,17.741935483870968,75.48387096774192,12.903225806451614,11.612903225806452,82.25806451612904,5.64516129032258,12.096774193548388,70.96774193548387,17.741935483870968,11.29032258064516,UCpYye8D5fFMUPf9nSfgd4bA,ijOY6ib9XNM,1,UCpYye8D5fFMUPf9nSfgd4bA
-MX7Y7hKcgk,18,16,7,0.8041647267956152,1.825,1.625,1.9583333333333333,3.088167857142857,2.571428571428572,18.75,78.75,13.75,7.5,84.375,9.375,6.25,75.0,16.666666666666668,8.333333333333332,UCpYye8D5fFMUPf9nSfgd4bA,-MX7Y7hKcgk,1,UCpYye8D5fFMUPf9nSfgd4bA
SzjMpDcJUAE,757,242,139,0.7496862376638248,2.793388429752066,2.570247933884297,2.9421487603305785,4.576487377370831,5.446043165467626,27.27272727272727,55.20661157024793,20.41322314049587,24.3801652892562,64.25619834710744,12.396694214876034,23.34710743801653,49.17355371900827,25.757575757575754,25.06887052341597,UCpYye8D5fFMUPf9nSfgd4bA,SzjMpDcJUAE,1,UCpYye8D5fFMUPf9nSfgd4bA
TCCafcwUTs8,165,77,50,0.7904056389112248,2.37922077922078,2.3506493506493507,2.398268398268398,4.264978701298701,3.3,25.97402597402597,67.79220779220779,13.506493506493506,18.7012987012987,70.77922077922078,9.09090909090909,20.12987012987013,65.8008658008658,16.450216450216452,17.748917748917748,UCpYye8D5fFMUPf9nSfgd4bA,TCCafcwUTs8,1,UCpYye8D5fFMUPf9nSfgd4bA
Gj-eQs7WlQc,112,49,13,1.0897292002530456,2.546938775510204,2.2857142857142856,2.7210884353741496,4.616506750392465,8.615384615384615,26.53061224489796,58.775510204081634,19.18367346938776,22.04081632653061,69.38775510204083,11.224489795918366,19.387755102040817,51.70068027210884,24.48979591836735,23.80952380952381,UCpYye8D5fFMUPf9nSfgd4bA,Gj-eQs7WlQc,1,UCpYye8D5fFMUPf9nSfgd4bA
CAKPyjvwrKI,910,259,160,0.9045070538141076,2.4841698841698845,2.27027027027027,2.6267696267696268,4.000980308880309,5.6875,23.552123552123557,62.47104247104247,18.91891891891892,18.610038610038607,71.23552123552125,10.81081081081081,17.953667953667956,56.62805662805663,24.324324324324323,19.047619047619047,UCpYye8D5fFMUPf9nSfgd4bA,CAKPyjvwrKI,1,UCpYye8D5fFMUPf9nSfgd4bA
Wz9gioEWJrc,456,186,94,0.7504961920289213,2.1376344086021506,2.0376344086021505,2.204301075268817,3.4665267444520707,4.851063829787234,20.43010752688172,71.93548387096774,16.021505376344088,12.043010752688172,79.03225806451613,6.989247311827956,13.978494623655912,67.20430107526882,22.04301075268817,10.75268817204301,UCpYye8D5fFMUPf9nSfgd4bA,Wz9gioEWJrc,1,UCpYye8D5fFMUPf9nSfgd4bA
klkhvU5HaSU,590,196,188,0.7369346895979405,2.406122448979592,2.2142857142857144,2.5340136054421767,4.103159574468085,3.1382978723404253,25.0,65.51020408163265,16.224489795918366,18.265306122448983,73.72448979591837,9.693877551020408,16.581632653061224,60.03401360544217,20.578231292517003,19.387755102040813,UCpYye8D5fFMUPf9nSfgd4bA,klkhvU5HaSU,1,UCpYye8D5fFMUPf9nSfgd4bA
Emvtn91QTHA,123,68,29,0.729101305312276,2.25,2.1323529411764706,2.32843137254902,3.46125476673428,4.241379310344827,20.588235294117645,67.94117647058823,16.470588235294116,15.588235294117649,72.79411764705883,13.235294117647058,13.970588235294118,64.70588235294117,18.627450980392155,16.666666666666664,UCpYye8D5fFMUPf9nSfgd4bA,Emvtn91QTHA,1,UCpYye8D5fFMUPf9nSfgd4bA
